engagementRate,uniqueActors,uniqueViewers,engagements,impressions,URL
0.166666667,50,300,40,340,https://www.geekwire.com/2018/microsoft-completes-7-5b-github-acquisition-says-user-base-grown-31m-developers/
0.068181818,30,440,40,360,https://www.geekwire.com/2018/microsoft-stock-rises-tech-giant-posts-29b-revenue-powered-cloud-gaming-growth/
0.1,50,500,160,560,https://www.geekwire.com/2018/report-microsoft-picks-new-chip-maker-ai-co-processors-azure-cutting-intels-business-half/
0.178571429,50,280,100,220,https://www.genpact.com/about-us/media/press-releases/2018-genpact-partners-with-walmart-to-launch-digital-hub-in-bentonville
0,0,60,40,100,https://www.gfmag.com/magazine/october-2018/staying-ahead-curve-salon-q-eys-roger-park
0.333333333,60,180,100,140,https://www.goizuetabeyond.com/story/where-luck-meets-preparedness/
0.357142857,50,140,120,60,https://www.healthcareinfosecurity.com/analysis-did-anthems-security-certification-have-value-a-11634
0.12962963,70,540,110,500,https://www.horsesforsources.com/sykes-acquires-symphony_102218
0,0,0,40,40,https://www.houstonchronicle.com/business/article/Station-Houston-co-founder-departing-to-lead-13327780.php
0,0,0,30,40,https://www.houstonchronicle.com/business/columnists/tomlinson/article/Health-care-requires-a-special-kind-of-incubator-13340591.php
1,50,40,40,60,https://www.ifsworld.com/corp/news-and-events/newsroom/2018/11/01/ifs-bolsters-senior-leadership-with-appointments-of-new-cfo-and-chief-people-and-culture-officer/?utm_campaign=corp+comms&utm_medium=social&utm_source=linkedin.com&utm_content=&utm_term=&sc_camp=
0,0,100,40,60,https://www.inc.com/cameron-albert-deitch/2018-inc5000-fastest-growing-companies-san-antonio.html
0.108695652,50,460,90,400,https://www.inc.com/jt-odonnell/according-to-hiring-managers-1-type-of-resume-makes-you-look-desperate.html
0.075,30,400,100,340,https://www.innovationleader.com/harvard-business-school-sunil-gupta-digital-transformation/
0,0,40,40,0,https://www.investatlanta.com/impact-insights/invest-atlanta-announces-atlantas-first-transit-oriented-development-fund
0,0,0,120,80,https://www.iotevolutionworld.com/iot/articles/439131-how-digital-technologies-disrupting-oil-gas-industry.htm
0,0,0,30,0,https://www.jibe.com/blog/5-ways-to-reduce-job-board-dependency-and-lower-your-cost-per-hire/
0,0,40,30,0,https://www.keycaptureenergy.com/business-analyst
0,0,0,60,0,https://www.latinopolicyforum.org/issues/leadership/multicultural-leadership-academy-2019-cohort
0,0,0,50,0,https://www.linkedin.com/pulse/30-cyber-security-female-role-models-kudsia-kaker
0.147058824,50,340,80,600,https://www.linkedin.com/pulse/advantages-big-4-experience-hamza-ali-acca-aat
0,0,60,40,40,https://www.linkedin.com/pulse/ai-project-its-transformational-journey-m-ahmad-shahzad-pmp-
0,0,0,40,0,https://www.linkedin.com/pulse/cognitive-dissonance-employee-engagement-noha-gaber
0.088888889,80,900,100,1080,https://www.linkedin.com/pulse/data-science-paint-numbers-hypothesis-development-canvas-schmarzo
0,0,40,30,60,https://www.linkedin.com/pulse/deepfakes-dawn-post-truth-era-shelly-palmer
0,0,120,40,100,https://www.linkedin.com/pulse/employees-dont-leave-companies-managers-brigette-hyacinth
0,0,60,50,0,https://www.linkedin.com/pulse/how-we-can-have-ai-privacy-david-hoffman
0.071428571,90,1260,100,1320,https://www.linkedin.com/pulse/i-asked-worlds-top-recruiters-what-look-here-4-tips-job-roslansky
0,0,0,30,0,https://www.linkedin.com/pulse/intelligent-enterprise-opportunity-now-rafael-freitas
0,0,40,60,0,https://www.linkedin.com/pulse/iot-data-new-oil-what-connectivity-telcos-ugly-duckling-maroto
0.021428571,30,1400,50,1120,https://www.linkedin.com/pulse/leading-future-what-we-learned-from-12-emerging-keith-goudy-ph-d-
0.074074074,40,540,110,760,https://www.linkedin.com/pulse/linkedin-announces-lot-josh-bersin
0.088235294,30,340,50,400,https://www.linkedin.com/pulse/loyal-employees-your-most-valuable-asset-brigette-hyacinth
0.063829787,60,940,110,500,https://www.linkedin.com/pulse/never-push-loyal-employees-point-where-longer-care-brigette-hyacinth
0.125,30,240,60,340,https://www.linkedin.com/pulse/our-responsibility-get-ai-right-margaret-keane
0.25,30,120,30,40,https://www.linkedin.com/pulse/questions-ask-before-accepting-ciso-job-offer-gary-hayslip-cissp-
0,0,80,60,0,https://www.linkedin.com/pulse/recorder-based-rpa-hype-vs-reality-deepak-sharma
0.054347826,50,920,110,820,https://www.linkedin.com/pulse/technology-changes-rapidly-so-does-cios-role-andrew-wilson
0,0,360,30,300,https://www.linkedin.com/pulse/want-start-your-own-business-whats-holding-you-back-ritam-gandhi
0,0,120,30,100,https://www.linkedin.com/pulse/what-deep-learning-ai-simple-guide-8-practical-examples-bernard-marr
0.227272727,100,440,80,560,https://www.linkedin.com/pulse/your-employees-can-greatest-asset-you-let-them-brigette-hyacinth
0,0,60,40,40,https://www.livemint.com/Companies/soqmzRzUYvEMu3RBXtxHII/TCS-displaces-Accenture-as-largest-IT-firm-servicing-banks.html
0,0,0,30,0,https://www.marketwatch.com/press-release/sony-biz-networks-launches-managed-sd-wan-service-powered-by-128-technologys-session-smart-router-2018-10-17
0,0,0,30,0,https://www.masstlc.org/massintelligence-digital-transformation-debt-part-i/
0.195652174,90,460,60,600,https://www.mckinsey.com/business-functions/digital-mckinsey/our-insights/digital-strategy-the-four-fights-you-have-to-win
0.285714286,40,140,50,380,https://www.mckinsey.com/business-functions/digital-mckinsey/our-insights/the-cornerstones-of-large-scale-technology-transformation
0.071428571,60,840,120,600,https://www.mckinsey.com/business-functions/mckinsey-analytics/our-insights/why-data-culture-matters
0,0,120,60,100,https://www.mckinsey.com/business-functions/operations/our-insights/digitally-enabled-reliability-beyond-predictive-maintenance
0.108695652,50,460,120,760,https://www.mckinsey.com/business-functions/organization/our-insights/leading-agile-transformation-the-new-capabilities-leaders-need-to-build-21st-century-organizations
0,0,0,30,40,https://www.mdpi.com/2227-7080/6/4/100
0,0,0,30,0,https://www.mixr.net/blog/3-leadership-skills-to-instill-in-the-next-generation/
0,0,0,30,0,https://www.mnchaneylaw.com/new-blog/2018/10/18/does-a-bad-corporate-culture-equal-a-bad-cyber-security-culture
0.176470588,60,340,50,220,https://www.nbcnews.com/business/business-news/companies-who-don-t-stop-hacks-could-be-breaking-law-n920821
0.214285714,30,140,90,120,https://www.newswire.ca/news-releases/accenture-names-jeffrey-russell-president-of-accenture-in-canada-699256531.html
0,0,80,50,180,https://www.nytimes.com/2018/10/26/us/politics/ai-microsoft-pentagon.html
0,0,0,30,0,https://www.out-standing.org/news/exciting-new-additions-at-involve/
0,0,0,30,0,https://www.pcmag.com/commentary/364693/why-passwords-might-finally-go-away
0,0,100,40,80,https://www.pehub.com/2018/11/houlihan-lokey-recruits-bastian-as-industrials-group-md/
0,0,40,30,60,https://www.pnc.com/content/pnc-com/en/about-pnc/topics/pnc-pov/innovation-security/phishing.html
0,0,60,30,100,https://www.prnewswire.com/news-releases/deloitte-names-doug-beaudoin-leader-of-the-us-life-sciences-and-health-care-industry-and-appoints-stephen-burrill-to-lead-the-health-care-sector-300743734.html
0.073529412,100,1360,120,1380,https://www.prnewswire.com/news-releases/deloitte-ranked-no-1-in-security-consulting-services-worldwide-for-sixth-consecutive-year-by-gartner-300730891.html
